Np,day,age_group,ess,resampled
100000,106,18-44,90601.49084891418,false
100000,106,45-64,51001.974409058705,false
100000,106,65+,64515.882927976825,false
100000,107,0-5,91751.6152039705,false
100000,107,6-11,79179.99093713537,false
100000,107,12-17,76444.42384019075,false
100000,107,18-44,74970.17683303572,false
100000,107,45-64,41536.400436015036,true
100000,107,65+,52869.12457416959,false
100000,108,0-5,77912.84862574686,false
100000,108,6-11,66819.15525741079,false
100000,108,12-17,62683.411840687695,false
100000,108,18-44,60543.37022731168,false
100000,108,45-64,91219.79097929258,false
100000,108,65+,43285.21717784949,true
100000,109,0-5,64659.107219540114,false
100000,109,6-11,55968.84448609599,false
100000,109,12-17,51145.89890184488,false
100000,109,18-44,48791.04680138187,true
100000,109,45-64,76365.81880842565,false
100000,109,65+,91757.23229881829,false
100000,110,0-5,53246.41165901756,false
100000,110,6-11,46686.63522028677,true
100000,110,12-17,41667.256274190324,true
100000,110,18-44,90811.61353721749,false
100000,110,45-64,62296.85855720359,false
100000,110,65+,77999.88373759469,false
100000,111,0-5,43938.814685048215,true
100000,111,6-11,92842.15947701667,false
100000,111,12-17,91482.32097906504,false
100000,111,18-44,75567.73473443832,false
100000,111,45-64,50630.127586195056,false
100000,111,65+,64697.774427189324,false
100000,112,0-5,92064.2138780432,false
100000,112,6-11,80448.96096130233,false
100000,112,12-17,77222.16955442243,false
100000,112,18-44,61220.92598640548,false
100000,112,45-64,41173.84553263032,true
100000,112,65+,53138.177414002974,false
100000,113,0-5,78501.0870772799,false
100000,113,6-11,68139.65935526496,false
100000,113,12-17,63576.46347471935,false
100000,113,18-44,49343.67138890624,true
100000,113,45-64,91045.68516644741,false
100000,113,65+,43549.445383342085,true
100000,114,0-5,65382.588513898314,false
100000,114,6-11,57242.46946402325,false
100000,114,12-17,52004.45403095534,false
100000,114,18-44,90844.35026385925,false
100000,114,45-64,76178.99905608867,false
100000,114,65+,91841.77853429921,false
100000,115,0-5,54279.208775574145,false
100000,115,6-11,48153.40229443108,true
100000,115,12-17,42587.732812590286,true
100000,115,18-44,75619.20907771196,false
100000,115,45-64,62402.33341795158,false
100000,115,65+,78280.16227052697,false
100000,116,0-5,45103.59343035652,true
100000,116,6-11,93307.15573258523,false
100000,116,12-17,91562.23048983813,false
100000,116,18-44,61301.31699743233,false
100000,116,45-64,50810.13495258958,false
100000,116,65+,65241.00585899108,false
100000,117,0-5,92159.57358727537,false
100000,117,6-11,81481.87460225352,false
100000,117,12-17,77327.23005471009,false
100000,117,18-44,49297.16606887461,true
100000,117,45-64,41253.06710510072,true
100000,117,65+,53775.655900903184,false
100000,118,0-5,78798.53761304161,false
100000,118,6-11,69670.66029472956,false
100000,118,12-17,63696.377504364216,false
100000,118,18-44,90640.9337165573,false
100000,118,45-64,90986.65169354845,false
100000,118,65+,44065.799960068485,true
100000,119,0-5,66141.53524301226,false
100000,119,6-11,59380.76759034885,false
100000,119,12-17,52260.26316247167,false
100000,119,18-44,75353.18796351245,false
100000,119,45-64,76356.84996213818,false
100000,119,65+,92022.08510287816,false
100000,120,0-5,55296.37858023585,false
100000,120,6-11,50711.650808531995,false
100000,120,12-17,42984.61569872343,true
100000,120,18-44,61234.608460286945,false
100000,120,45-64,62753.65367777301,false
100000,120,65+,78535.88462967251,false
100000,121,0-5,46114.23996044884,true
100000,121,6-11,43339.51712270524,true
100000,121,12-17,91982.57356778081,false
100000,121,18-44,49464.36246795757,true
100000,121,45-64,51197.090765856396,false
100000,121,65+,65509.70393439152,false
100000,122,0-5,92352.54928488239,false
100000,122,6-11,93870.76385309194,false
100000,122,12-17,78293.68926553204,false
100000,122,18-44,90675.17606074254,false
100000,122,45-64,41610.27168143037,true
100000,122,65+,54064.536698132855,false
100000,123,0-5,79639.95607135067,false
100000,123,6-11,82939.64767416043,false
100000,123,12-17,65215.74847879317,false
100000,123,18-44,75325.20647283146,false
100000,123,45-64,91273.8577378752,false
100000,123,65+,44503.421595619155,true
