day,age_group,incidence,incidence_per1000,incidence_per100k
87,6-11,798.191647,0.294800,29.479957
87,12-17,2731.295777,0.985281,98.528110
87,18-44,17056.975586,0.946384,94.638371
87,45-64,10112.369144,0.599182,59.918159
87,65+,2228.379826,0.240456,24.045647
88,0-5,1454.351632,0.811676,81.167618
88,6-11,733.566273,0.270931,27.093120
88,12-17,2509.464408,0.905258,90.525819
88,18-44,15908.029376,0.882636,88.263595
88,45-64,9468.990915,0.561060,56.105992
88,65+,2096.245738,0.226198,22.619835
89,0-5,1339.918540,0.747811,74.781087
89,6-11,674.388904,0.249075,24.907497
89,12-17,2306.853268,0.832169,83.216873
89,18-44,14837.812471,0.823256,82.325639
89,45-64,8866.789195,0.525378,52.537806
89,65+,1971.835097,0.212774,21.277365
90,0-5,1234.853285,0.689174,68.917377
90,6-11,620.172649,0.229051,22.905104
90,12-17,2121.651185,0.765359,76.535937
90,18-44,13840.849731,0.767941,76.794123
90,45-64,8303.158879,0.491982,49.198164
90,65+,1854.723408,0.200137,20.013655
91,0-5,1138.340422,0.635310,63.530977
91,6-11,570.476969,0.210697,21.069672
91,12-17,1952.230143,0.704243,70.424283
91,18-44,12912.022179,0.716406,71.640646
91,45-64,7775.633331,0.460725,46.072451
91,65+,1744.501307,0.188243,18.824287
92,0-5,1049.640184,0.585806,58.580601
92,6-11,524.902963,0.193865,19.386468
92,12-17,1797.126258,0.648291,64.829103
92,18-44,12046.551547,0.668387,66.838697
92,45-64,7281.883578,0.431469,43.146868
92,65+,1640.775786,0.177050,17.705023
93,0-5,968.081065,0.540288,54.028773
93,6-11,483.089165,0.178421,17.842141
93,12-17,1655.022618,0.597029,59.702890
93,18-44,11239.983776,0.623636,62.363562
93,45-64,6819.715920,0.404084,40.408416
93,65+,1543.170990,0.166518,16.651804
94,0-5,893.053167,0.498415,49.841453
94,6-11,444.707816,0.164246,16.424586
94,12-17,1524.733851,0.550029,55.002884
94,18-44,10488.171941,0.581922,58.192234
94,45-64,6387.068348,0.378449,37.844878
94,65+,1451.328661,0.156608,15.660767
95,0-5,824.002213,0.459877,45.987707
95,6-11,409.461528,0.151228,15.122819
95,12-17,1405.192290,0.506906,50.690570
95,18-44,9787.258972,0.543033,54.303311
95,45-64,5982.006074,0.354448,35.444789
95,65+,1364.908291,0.147282,14.728235
96,0-5,760.424181,0.424394,42.439406
96,6-11,377.080302,0.139269,13.926870
96,12-17,1295.435588,0.467312,46.731233
96,18-44,9133.660439,0.506769,50.676906
96,45-64,5602.716436,0.331974,33.197409
96,65+,1283.587053,0.138507,13.850727
97,0-5,701.860473,0.391710,39.170955
97,6-11,347.318863,0.128277,12.827678
97,12-17,1194.595641,0.430936,43.093557
97,18-44,8524.047648,0.472946,47.294550
97,45-64,5247.503381,0.310927,31.092688
97,65+,1207.059539,0.130249,13.024946
98,0-5,647.893577,0.361591,36.159053
98,6-11,319.954262,0.118170,11.817009
98,12-17,1101.888713,0.397493,39.749270
98,18-44,7955.331194,0.441391,44.139102
98,45-64,4914.781706,0.291212,29.121234
