Np,L,day,age_group,uniq
100000,24,13,0-5,3840
100000,24,13,6-11,3458
100000,24,13,12-17,3671
100000,24,13,18-44,4056
100000,24,13,45-64,4245
100000,24,13,65+,4315
100000,24,14,0-5,3804
100000,24,14,6-11,3481
100000,24,14,12-17,3668
100000,24,14,18-44,4055
100000,24,14,45-64,4257
100000,24,14,65+,4316
100000,24,15,0-5,3812
100000,24,15,6-11,3510
100000,24,15,12-17,3655
100000,24,15,18-44,4069
100000,24,15,45-64,4247
100000,24,15,65+,4324
100000,24,16,0-5,3836
100000,24,16,6-11,3532
100000,24,16,12-17,3679
100000,24,16,18-44,4081
100000,24,16,45-64,4219
100000,24,16,65+,4355
100000,24,17,0-5,3818
100000,24,17,6-11,3535
100000,24,17,12-17,3694
100000,24,17,18-44,4063
100000,24,17,45-64,4224
100000,24,17,65+,4347
100000,24,18,0-5,3851
100000,24,18,6-11,3582
100000,24,18,12-17,3730
100000,24,18,18-44,4080
100000,24,18,45-64,4230
100000,24,18,65+,4342
100000,24,19,0-5,3853
100000,24,19,6-11,3608
100000,24,19,12-17,3736
100000,24,19,18-44,4085
